Latitude;Longitude;State;City;Street;HouseNumber;PostCode
44.8003286;-68.7888064;ME;Bangor;Hammond Street;517;04401
44.7996479;-68.7935187;ME;Bangor;Hammond Street;615;04401
44.8064910;-68.7890178;ME;Bangor;Union Street;516;04401
44.8043757;-68.7659865;ME;Bangor;Essex Street;82;04401
44.8053267;-68.7710786;ME;Bangor;Center Street;56;04401
44.8249117;-68.7691543;ME;Bangor;Essex Street;703;04401
44.8043574;-68.7703174;ME;Bangor;Park Street;120;04401
44.8156191;-68.7658335;ME;Bangor;Forest Avenue;300;04401
44.8177891;-68.7506027;ME;Bangor;Mount Hope Avenue;375;04401
44.7975032;-68.7776083;ME;Bangor;Sanford Street;90;04401
44.8171121;-68.8020265;ME;Bangor;Ohio Street;768;04401
44.8164016;-68.8003946;ME;Bangor;Ohio Street;768;04401
44.7891606;-68.7789045;ME;Bangor;Main Street;515;04401
44.8074978;-68.7812473;ME;Bangor;Ohio Street;218;04401
44.7851371;-68.8047224;ME;Bangor;Perry Road;405;04401
44.7964923;-68.7743252;ME;Bangor;Main Street;289;04401
44.8073590;-68.7910696;ME;Bangor;Union Street;566;04401
44.8053535;-68.7621510;ME;Bangor;State Street;210;04401
44.8208891;-68.7767517;;Bangor;Broadway;571;04401
44.8060538;-68.7592175;ME;Bangor;State Street;271;04401
44.8297395;-68.7867319;ME;Bangor;Broadway;900;04401
44.8240288;-68.7863974;ME;Bangor;Husson Avenue;238–250;04401
44.8197587;-68.7905631;ME;Bangor;Kenduskeag Avenue;509;04401
44.8057358;-68.7598480;ME;Bangor;State Street;247;04401
44.8198632;-68.7914740;ME;Bangor;Kenduskeag Avenue;521;04401
44.8005558;-68.7757695;ME;Bangor;Union Street;193;04401
44.8222454;-68.7596467;ME;Bangor;Stillwater Avenue;335;04401
44.8048415;-68.7736111;ME;Bangor;Harlow Street;202;04401
44.8030032;-68.7751404;ME;Bangor;Court Street;57;04401
44.8087764;-68.7720197;ME;Bangor;Center Street;146;04401
44.8293671;-68.7537410;ME;Bangor;Stillwater Avenue;583;04401
44.8240428;-68.7801472;ME;Bangor;Broadway;686;04401
44.7979059;-68.7618686;ME;Brewer;State Street;12;04412
44.7979683;-68.7617297;ME;Brewer;State Street;12 1/2;04412
44.7967632;-68.7625264;ME;Brewer;Center Street;103;04412
44.7882893;-68.7775868;ME;Bangor;Main Street;500;04401
44.7886721;-68.7783444;ME;Bangor;Main Street;519;04401
44.7878013;-68.7789097;ME;Bangor;Main Street;545;04401
44.7871583;-68.7792661;ME;Bangor;Main Street;547;04401
44.7867295;-68.7775030;ME;Bangor;Main Street;570;04401
44.7808433;-68.7534562;ME;Brewer;Dirigo Drive;15;04412
44.8008083;-68.7714442;ME;Bangor;Main Street;38;04401
44.8087863;-68.7913047;ME;Bangor;Beecher Park;45;04401
44.7851832;-68.7542248;ME;Brewer;Wilson Street;373;04412
44.7990942;-68.7956069;ME;Bangor;Hammond Street;662;04401
44.7846785;-68.7989507;ME;Bangor;Perry Road;207;04401
44.8276705;-68.8025836;ME;Bangor;Griffin Road;14;04401
44.8042465;-68.7802631;ME;Bangor;Highland Avenue;2;04401
44.7962454;-68.7860145;ME;Bangor;Savage Street;2;04401
44.7996123;-68.7743317;ME;Bangor;Second Street;2;04401
44.8055307;-68.7786586;ME;Bangor;Bower Street;4;04401
44.7933527;-68.7868280;ME;Bangor;Hewey Street;4;04401
44.8017762;-68.7715352;ME;Bangor;Central Street;6;04401
44.8010005;-68.7752936;ME;Bangor;Clinton Street;6;04401
44.8051619;-68.7631065;ME;Bangor;Forest Avenue;6;04401
44.8268275;-68.7617844;ME;Bangor;Molly Lane;6;04401
44.8108964;-68.7719924;ME;Bangor;West Park Street;6;04401
44.8092875;-68.7825076;ME;Bangor;Winter Street;6;04401
44.8024249;-68.7695411;ME;Bangor;Harlow Street;8;04401
44.8160007;-68.7742741;ME;Bangor;Linden Street;8;04401
44.8134436;-68.7786094;ME;Bangor;Montgomery Street;8;04401
44.7969863;-68.7874657;ME;Bangor;Savage Street;8;04401
44.8082285;-68.7726352;ME;Bangor;Willow Street;8;04401
44.8017551;-68.7721991;ME;Bangor;Franklin Street;10;04401
44.8062905;-68.7603705;ME;Bangor;Maple Street;10;04401
44.8081033;-68.7555892;ME;Bangor;Otis Street;10;04401
44.8001927;-68.7765232;ME;Bangor;Third Street;10;04401
44.8035077;-68.7799561;ME;Bangor;George Street;12;04401
44.7983503;-68.7712579;ME;Bangor;Independent Street;12;04401
44.7957153;-68.7725832;ME;Bangor;South Street;12;04401
44.8025151;-68.7696483;ME;Bangor;Harlow Street;14;04401
44.8064121;-68.7604143;ME;Bangor;Maple Street;14;04401
44.7824021;-68.7824126;ME;Bangor;Olive Street;14;04401
44.8022139;-68.7698202;ME;Bangor;State Street;14;04401
44.8000262;-68.7765302;ME;Bangor;Third Street;14;04401
44.8092584;-68.7814201;ME;Bangor;Autumn Street;16;04401
44.8019834;-68.7715723;ME;Bangor;Central Street;16;04401
44.8047969;-68.7650553;ME;Bangor;Grove Street;16;04401
44.8044228;-68.7806671;ME;Bangor;Highland Avenue;16;04401
44.7975520;-68.7704645;ME;Bangor;Union Plaza;16;04401
44.8082638;-68.7722683;ME;Bangor;Willow Street;16;04401
44.8125117;-68.7954204;ME;Bangor;Bailey Street;18;04401
44.8074468;-68.7580010;ME;Bangor;Fern Street;18;04401
44.8055987;-68.7631932;ME;Bangor;Forest Avenue;18;04401
44.8105303;-68.7851523;ME;Bangor;Holland Street;18;04401
44.8064169;-68.7807101;ME;Bangor;James Street;18;04401
44.7989589;-68.7929775;ME;Bangor;North Street;18;04401
44.8083737;-68.7557462;ME;Bangor;Otis Street;18;04401
44.7999410;-68.7767265;ME;Bangor;Third Street;18;04401
44.8036379;-68.7640169;ME;Bangor;Adams Street;20;04401
44.8085699;-68.7838634;ME;Bangor;Cottage Street;20;04401
44.8045131;-68.7808311;ME;Bangor;Highland Avenue;20;04401
44.8104023;-68.7747702;ME;Bangor;Leighton Street;20;04401
44.7972349;-68.7880274;ME;Bangor;Savage Street;20;04401
44.7998342;-68.7843575;ME;Bangor;Seventh Street;20;04401
44.7954300;-68.7716867;ME;Bangor;Hamlin Way;24;04401
44.8118885;-68.8019356;ME;Bangor;Vermont Avenue;20;04401
44.8202186;-68.7744727;ME;Bangor;Alden Street;22;04401
44.8051151;-68.7579728;ME;Bangor;Birch Street;22;04401
44.8033103;-68.7803046;ME;Bangor;George Street;22;04401
44.8067093;-68.7604636;ME;Bangor;Maple Street;22;04401
44.8110477;-68.7923083;ME;Bangor;Sixteenth Street;22;04401
44.7998512;-68.7768343;ME;Bangor;Third Street;22;04401
44.7946247;-68.7834919;ME;Bangor;Vine Street;22;04401
44.7979285;-68.7931582;ME;Bangor;West Street;22;04401
44.8051512;-68.7580043;ME;Bangor;Birch Street;24;04401
44.8073300;-68.7645898;ME;Bangor;Elm Street;24;04401
44.7983781;-68.7738877;ME;Bangor;First Street;24;04401
44.8050130;-68.7651240;ME;Bangor;Grove Street;24;04401
44.8167149;-68.7581330;ME;Bangor;Hemlock Street;24;04401
44.8045989;-68.7809699;ME;Bangor;Highland Avenue;24;04401
44.7956265;-68.7896327;ME;Bangor;Lincoln Street;340;04401
44.7953082;-68.7928262;ME;Bangor;Mountain View Avenue;25;04401
44.7957902;-68.7930141;ME;Bangor;Mountain View Avenue;14;04401
44.7956999;-68.7928437;ME;Bangor;Mountain View Avenue;18;04401
44.7956095;-68.7926671;ME;Bangor;Mountain View Avenue;24;04401
